X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.298387604801775,44.937490455037924,0036XX HENNEPIN AVE ,MP2018402484        ,5     ,2018-12-08T00:00:00.000Z,1531,2018-12-08T00:00:00.000Z,2018-12-08T15:31:00.000Z,1300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-12-09T00:00:00.000Z,21562,-93.29839641,44.93749256,-10385929,5611686,East Harriet,2018-12-09T00:00:00.000Z,2019-02-11T12:25:09.000Z,11223
-93.262032785253467,44.948356914198804,0008XX LAKE ST E,MP2018402503        ,3     ,2018-12-08T00:00:00.000Z,1458,2018-12-08T00:00:00.000Z,2018-12-08T14:58:00.000Z,1123,SHOPLF  ,SHOPLIFTING                   ,07 ,2018-12-08T00:00:00.000Z,19111,-93.26204108,44.94835805,-10381882,5613395,Powderhorn Park,2018-12-09T00:00:00.000Z,2019-02-11T12:25:09.000Z,11224
-93.298387604801775,44.937490455037924,0036XX HENNEPIN AVE ,MP2018402506        ,5     ,2018-12-08T00:00:00.000Z,1441,2018-12-08T00:00:00.000Z,2018-12-08T14:41:00.000Z,1300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-12-08T00:00:00.000Z,21562,-93.29839641,44.93749256,-10385929,5611686,East Harriet,2018-12-08T00:00:00.000Z,2019-02-11T12:25:09.000Z,11225
-93.27663939177323,44.924166857896431,0043XX 1ST AVE S,MP2018402597        ,5     ,2018-12-08T00:00:00.000Z,2257,2018-12-07T00:00:00.000Z,2018-12-08T22:57:00.000Z,1650,THEFT   ,OTHER THEFT                   ,07 ,2018-12-09T00:00:00.000Z,10153,-93.27664536,44.9241671,-10383508,5609591,King Field,2018-12-09T00:00:00.000Z,2019-02-11T12:25:09.000Z,11226
-93.288299524161118,44.904178848259193,0054XX LYNDALE AVE S,MP2018402606        ,5     ,2018-12-08T00:00:00.000Z,2234,2018-12-08T00:00:00.000Z,2018-12-08T22:34:00.000Z,1701,THFTSW  ,THEFT BY SWINDLE              ,07 ,2018-12-09T00:00:00.000Z,14675,-93.28830779,44.90417928,-10384806,5606449,Kenny,2018-12-10T00:00:00.000Z,2019-02-11T12:25:09.000Z,11227
-93.289251738362282,45.008615993291656,0028XX ALDRICH AVE N,MP2018402636        ,4     ,2018-12-08T00:00:00.000Z,1806,2018-12-08T00:00:00.000Z,2018-12-08T18:06:00.000Z,1726,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-12-08T00:00:00.000Z,10579,-93.28925999,45.00862118,-10384912,5622878,Hawthorne,2018-12-08T00:00:00.000Z,2019-02-11T12:25:09.000Z,11228
-93.308628399040742,44.904223386879671,0054XX PENN AVE S,MP2018402683        ,5     ,2018-12-08T00:00:00.000Z,2218,2018-12-08T00:00:00.000Z,2018-12-08T22:18:00.000Z,1809,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-12-09T00:00:00.000Z,21881,-93.30863551,44.90422943,-10387069,5606456,Armatage,2018-12-09T00:00:00.000Z,2019-02-11T12:25:09.000Z,11229
-93.311664704701059,44.950442225230873,0025XX LAKE ST W,MP2018402702        ,5     ,2018-12-08T00:00:00.000Z,2134,2018-10-26T00:00:00.000Z,2018-12-08T21:34:00.000Z,800,THEFT   ,OTHER THEFT                   ,07 ,2018-12-09T00:00:00.000Z,23136,-93.31166918,44.95044373,-10387407,5613723,Cedar - Isles - Dean,2018-12-09T00:00:00.000Z,2019-02-11T12:25:09.000Z,11230
-93.299241004321686,45.050225932172729,0052XX HUMBOLDT AVE N,MP2018402705        ,4     ,2018-12-08T00:00:00.000Z,1907,2018-12-05T00:00:00.000Z,2018-12-08T19:07:00.000Z,1545,THEFT   ,OTHER THEFT                   ,07 ,2018-12-08T00:00:00.000Z,10291,-93.29924861,45.05023214,-10386024,5629432,Lind - Bohanon,2018-12-10T00:00:00.000Z,2019-02-11T12:25:09.000Z,11231
-93.308628399040742,44.904223386879671,0054XX PENN AVE S,MP2018402717        ,5     ,2018-12-08T00:00:00.000Z,2257,2018-12-08T00:00:00.000Z,2018-12-08T22:57:00.000Z,1847,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-12-09T00:00:00.000Z,21881,-93.30863551,44.90422943,-10387069,5606456,Armatage,2018-12-09T00:00:00.000Z,2019-02-11T12:25:09.000Z,11232
-93.305080053668462,44.991497240255839,0019XX PLYMOUTH AVE N,MP2018402727        ,4     ,2018-12-08T00:00:00.000Z,1943,2018-12-08T00:00:00.000Z,2018-12-08T19:43:00.000Z,1943,THFTSW  ,THEFT BY SWINDLE              ,07 ,2018-12-08T00:00:00.000Z,16540,-93.30508811,44.9915029,-10386674,5620183,Near - North,2018-12-10T00:00:00.000Z,2019-02-11T12:25:09.000Z,11233
