NEIGHBORHOOD,COMMUNITY,COMMUNITY POPULATION
BRYN MAWR,CALHOUN-ISLE,30487
CARAG,CALHOUN-ISLE,30487
CEDAR-ISLES-DEAN,CALHOUN-ISLE,30487
EAST ISLES,CALHOUN-ISLE,30487
ECCO,CALHOUN-ISLE,30487
KENWOOD,CALHOUN-ISLE,30487
LOWRY HILL,CALHOUN-ISLE,30487
LOWRY HILL EAST,CALHOUN-ISLE,30487
WEST CALHOUN,CALHOUN-ISLE,30487
CAMDEN INDUSTRIAL AREA,CAMDEN,30586
CLEVELAND,CAMDEN,30586
FOLWELL,CAMDEN,30586
HUMBOLDT INDUST AREA,CAMDEN,30586
LIND-BOHANON,CAMDEN,30586
MCKINLEY,CAMDEN,30586
SHINGLE CREEK,CAMDEN,30586
VICTORY,CAMDEN,30586
WEBBER-CAMDEN,CAMDEN,30586
DOWNTOWN EAST,DOWNTOWN EAST,1254
DOWNTOWN WEST,DOWNTOWN WEST,7466
ELLIOT PARK,ELLIOT PARK,6596
LORING PARK,LORING PARK,8835
NORTHLOOP,NORTHLOOP,5760
STEVENS SQ/LORING HGTS,STEVENS SQ/LORING HGTS,4031
COOPER,LONGFELLOW,28490
HIAWATHA,LONGFELLOW,28490
HOWE,LONGFELLOW,28490
LONGFELLOW,LONGFELLOW,28490
SEWARD,LONGFELLOW,28490
HARRISON,NEAR NORTH,34902
HAWTHORNE,NEAR NORTH,34902
JORDAN,NEAR NORTH,34902
NEAR NORTH,NEAR NORTH,34902
SUMNER-GLENWOOD,NEAR NORTH,34902
WILLARD-HAY,NEAR NORTH,34902
DIAMOND LAKE,NOKOMIS,38503
ERICSSON,NOKOMIS,38503
FIELD,NOKOMIS,38503
HALE,NOKOMIS,38503
KEEWAYDIN,NOKOMIS,38503
MINNEHAHA,NOKOMIS,38503
MORRIS PARK,NOKOMIS,38503
NORTHROP,NOKOMIS,38503
PAGE,NOKOMIS,38503
REGINA,NOKOMIS,38503
WENONAH,NOKOMIS,38503
AUDUBON PARK,NORTHEAST,38226
BELTRAMI,NORTHEAST,38226
BOTTINEAU,NORTHEAST,38226
COLUMBIA,NORTHEAST,38226
HOLLAND,NORTHEAST,38226
LOGAN PARK,NORTHEAST,38226
MARSHALL TERRACE,NORTHEAST,38226
NORTHEAST PARK,NORTHEAST,38226
SHERIDAN,NORTHEAST,38226
ST ANTHONY EAST,NORTHEAST,38226
ST ANTHONY WEST,NORTHEAST,38226
WAITE PARK,NORTHEAST,38226
WINDOM PARK,NORTHEAST,38226
EAST PHILLIPS,PHILLIPS,22433
MIDTOWN PHILLIPS,PHILLIPS,22433
PHILLIPS WEST,PHILLIPS,22433
VENTURA VILLAGE,PHILLIPS,22433
BANCROFT,POWDERHORN,58154
BRYANT,POWDERHORN,58154
CENTRAL,POWDERHORN,58154
CORCORAN,POWDERHORN,58154
LYNDALE,POWDERHORN,58154
POWDERHORN PARK,POWDERHORN,58154
STANDISH,POWDERHORN,58154
WHITTIER,POWDERHORN,58154
ARMATAGE,SOUTHWEST,49820
EAST HARRIET,SOUTHWEST,49820
FULTON,SOUTHWEST,49820
KENNY,SOUTHWEST,49820
KING FIELD,SOUTHWEST,49820
LINDEN HILLS,SOUTHWEST,49820
LYNNHURST,SOUTHWEST,49820
TANGLETOWN,SOUTHWEST,49820
WINDOM,SOUTHWEST,49820
CEDAR RSIDE/WEST BANK,UNIVERSITY,45061
COMO,UNIVERSITY,45061
MARCY-HOLMES,UNIVERSITY,45061
MID CITY INDUSTRIAL AR,UNIVERSITY,45061
NICOLLET IS/EAST BANK,UNIVERSITY,45061
PROSPECT PK/E RIVER RD,UNIVERSITY,45061
UNIVERSITY,UNIVERSITY,45061
