Neighborhood,Crimes,Violent Crimes,Non-Violent Crimes,Price per Sq Ft,Population,Crime Rate,Violent Rate,Non-Violent Rate
ARMATAGE,411,124,287,164.4919288,4934,16.659910822861775,5.026347790839076,11.6335630320227
AUDUBON PARK,735,285,450,136.8465013,5125,28.68292682926829,11.121951219512196,17.560975609756095
BANCROFT,630,275,355,132.83475430000001,3587,35.12684694730973,15.333147477000278,19.793699470309452
BELTRAMI,296,98,198,117.9113682,1248,47.43589743589743,15.705128205128204,31.73076923076923
BOTTINEAU,408,125,283,133.69487279999998,1656,49.275362318840585,15.096618357487923,34.17874396135266
BRYANT,472,241,231,121.16204909999999,2833,33.32156724320508,17.013766325450053,16.30780091775503
BRYN MAWR,411,118,293,178.5747701,2651,31.00716710675217,8.902301018483591,22.104866088268576
CARAG,1624,441,1183,192.32180569999997,5603,57.96894520792433,15.741567017669105,42.22737819025522
CEDAR RSIDE/WEST BANK,1870,498,1372,170.66853799999998,9626,38.85310617078745,10.346976937461044,28.506129233326405
CEDAR-ISLES-DEAN,533,134,399,248.63046699999998,2950,36.13559322033898,9.084745762711863,27.05084745762712
CENTRAL,1947,975,972,101.12579140000001,8451,46.0773872914448,23.074192403265886,23.003194888178914
CLEVELAND,786,396,390,95.73995447,3025,51.96694214876033,26.181818181818183,25.785123966942148
COLUMBIA PARK,227,83,144,124.6979821,1563,29.0467050543826,10.620601407549584,18.426103646833013
COMO,1286,475,811,119.91556659999999,6559,39.213294709559385,14.483915230980331,24.72937947857905
COOPER,639,225,414,152.9430741,3692,34.61538461538461,12.18851570964247,22.426868905742143
CORCORAN,1014,388,626,122.3994462,4292,47.25069897483691,18.080149114631876,29.170549860205032
DIAMOND LAKE,608,241,367,143.7473062,5759,21.114776870984546,8.36950859524223,12.745268275742315
DOWNTOWN EAST,990,119,871,382.9348753,1254,157.89473684210526,18.9792663476874,138.91547049441786
DOWNTOWN WEST,11306,2257,9049,315.1585691,7466,302.8663273506563,60.46075542459148,242.40557192606485
EAST HARRIET,517,120,397,198.4092984,3673,28.15137489790362,6.5341682548325615,21.61720664307106
EAST ISLES,1243,264,979,239.51246490000003,3295,75.44764795144158,16.024279210925645,59.42336874051593
EAST PHILLIPS,1853,815,1038,108.13612340000002,4269,86.81189974232841,38.18224408526587,48.62965565706254
ECCO,879,171,708,233.393468,2457,71.55067155067155,13.91941391941392,57.631257631257625
ELLIOT PARK,1978,618,1360,307.6387523,6596,59.975742874469375,18.73862947240752,41.23711340206185
ERICSSON,534,246,288,144.6022765,3192,33.45864661654135,15.413533834586465,18.045112781954884
FIELD,370,158,212,147.2990072,2366,31.276415891800507,13.355874894336434,17.920540997464073
FOLWELL,1795,1003,792,76.00024592,5769,62.229155832899984,34.772057548968625,27.45709828393136
FULTON,573,206,367,208.03633090000002,6335,18.089976322020522,6.503551696921862,11.586424625098658
HALE,265,107,158,164.3299995,3176,16.68765743073048,6.738035264483627,9.949622166246852
HARRISON,938,391,547,100.79144699999999,3211,58.42416692619121,24.35378386795391,34.07038305823731
HAWTHORNE,2334,1076,1258,75.5642833,4582,101.8769096464426,46.966390222610215,54.91051942383238
HIAWATHA,1303,366,937,160.5805745,5764,45.211658570437194,12.699514226231784,32.51214434420541
HOLLAND,1015,401,614,125.5697326,4955,40.96871846619577,16.185671039354187,24.783047426841573
HOWE,1121,407,714,148.5165386,6757,33.18040550540181,12.04676631641261,21.133639188989196
JORDAN,2884,1473,1411,71.55244420000001,8372,68.89632107023411,35.18872431915911,33.707596751075016
KEEWAYDIN,454,143,311,146.504312,3096,29.328165374677003,9.237726098191215,20.09043927648579
KENNY,327,108,219,162.7523227,3612,18.106312292358805,5.980066445182724,12.12624584717608
KENWOOD,158,45,113,247.0976649,1468,21.525885558583106,6.130790190735695,15.39509536784741
KING FIELD,1185,466,719,157.570708,7667,30.911699491326466,12.155993217686188,18.75570627364028
LIND-BOHANON,1286,623,663,100.15351779999999,5322,48.327696354753854,23.412251033446076,24.91544532130778
LINDEN HILLS,651,196,455,227.5211974,7951,16.375298704565463,4.930197459439064,11.445101245126398
LOGAN PARK,421,144,277,158.68544709999998,2179,38.64157870582836,13.217072051399725,25.424506654428637
LONGFELLOW,3360,674,2686,142.0683397,4789,140.32157026519104,28.147838797243686,112.17373146794738
LORING PARK,2425,645,1780,226.40264449999998,8835,54.89530277306168,14.60101867572156,40.294284097340125
LOWRY HILL,701,155,546,216.2097298,3834,36.56755346896192,8.085550339071466,28.482003129890455
LOWRY HILL EAST,2942,686,2256,203.8053374,6143,95.78381898095392,22.334364317108903,73.44945466384503
LYNDALE,1849,620,1229,151.8547368,7353,50.29239766081871,16.86386508907929,33.428532571739424
LYNNHURST,455,166,289,209.123617,6110,14.893617021276595,5.433715220949264,9.459901800327332
MARCY-HOLMES,3193,856,2337,217.9598932,12678,50.37072093390125,13.503707209339014,36.867013724562234
MARSHALL TERRACE,308,95,213,115.1750855,1381,44.605358435916,13.758146270818248,30.847212165097755
MCKINLEY,1040,569,471,71.59064188,3132,66.41123882503193,36.334610472541506,30.07662835249042
MID CITY INDUSTRIAL AR,387,70,317,248.8210444,213,363.38028169014086,65.72769953051643,297.6525821596244
MIDTOWN PHILLIPS,1988,796,1192,115.71122220000001,5263,75.54626638799165,30.24890746722402,45.29735892076762
MINNEHAHA,607,206,401,148.5409814,4199,28.911645629911888,9.811859966658728,19.099785663253154
MORRIS PARK,302,138,164,131.9232791,2819,21.42603760198652,9.790705924086556,11.635331677899964
NEAR - NORTH,2664,1021,1643,83.32139213,7097,75.07397491897984,28.772720867972385,46.30125405100747
NICOLLET IS/EAST BANK,506,97,409,312.1733453,1309,77.31092436974791,14.820473644003057,62.490450725744836
NORTHEAST PARK,848,75,773,134.51402030000003,672,252.38095238095238,22.321428571428573,230.05952380952382
NORTHLOOP,2066,434,1632,316.0623017,5760,71.73611111111111,15.069444444444443,56.666666666666664
NORTHROP,846,329,517,154.3250193,4591,36.854715748203006,14.332389457634504,22.522326290568504
PAGE,169,69,100,169.5565882,1730,19.537572254335263,7.976878612716763,11.560693641618498
PHILLIPS WEST,1270,472,798,93.88103595,5672,44.781382228490834,16.643159379407617,28.138222849083217
POWDERHORN PARK,2287,1046,1241,119.34342,9760,46.864754098360656,21.434426229508198,25.43032786885246
PROSPECT PK/E RIVER RD,1753,387,1366,178.06592759999998,8482,41.33459089837302,9.125206319264324,32.2093845791087
REGINA,368,174,194,127.62989479999999,2292,32.11169284467714,15.18324607329843,16.92844677137871
SEWARD,2189,659,1530,149.4897329,7488,58.46688034188035,17.601495726495727,40.86538461538461
