,Neighborhood,Crimes,Violent Crimes,Non-Violent Crimes
0,ARMATAGE,411,124,287
1,AUDUBON PARK,735,285,450
2,BANCROFT,630,275,355
3,BELTRAMI,296,98,198
4,BOTTINEAU,408,125,283
5,BRYANT,472,241,231
6,BRYN MAWR,411,118,293
7,CAMDEN INDUSTRIAL AREA,126,43,83
8,CARAG,1624,441,1183
9,CEDAR RSIDE/WEST BANK,1870,498,1372
10,CEDAR-ISLES-DEAN,533,134,399
11,CENTRAL,1947,975,972
12,CLEVELAND,786,396,390
13,COLUMBIA,1,0,0
14,COLUMBIA PARK,227,83,144
15,COMO,1286,475,811
16,COOPER,639,225,414
17,CORCORAN,1014,388,626
18,DIAMOND LAKE,608,241,367
19,DOWNTOWN EAST,990,119,871
20,DOWNTOWN WEST,11306,2257,9049
21,EAST HARRIET,517,120,397
22,EAST ISLES,1243,264,979
23,EAST PHILLIPS,1853,815,1038
24,ECCO,879,171,708
25,ELLIOT PARK,1978,618,1360
26,ERICSSON,534,246,288
27,FIELD,370,158,212
28,FOLWELL,1795,1003,792
29,FULTON,573,206,367
30,HALE,265,107,158
31,HARRISON,938,391,547
32,HAWTHORNE,2334,1076,1258
33,HIAWATHA,1303,366,937
34,HOLLAND,1015,401,614
35,HOWE,1121,407,714
36,HUMBOLDT INDUST AREA,37,10,27
37,JORDAN,2884,1473,1411
38,KEEWAYDIN,454,143,311
39,KENNY,327,108,219
40,KENWOOD,158,45,113
41,KING FIELD,1185,466,719
42,LIND-BOHANON,1286,623,663
43,LINDEN HILLS,651,196,455
44,LOGAN PARK,421,144,277
45,LONGFELLOW,3360,674,2686
46,LORING PARK,2425,645,1780
47,LOWRY HILL,701,155,546
48,LOWRY HILL EAST,2942,686,2256
49,LYNDALE,1849,620,1229
50,LYNNHURST,455,166,289
51,MARCY-HOLMES,3193,856,2337
52,MARSHALL TERRACE,308,95,213
53,MCKINLEY,1040,569,471
54,MID CITY INDUSTRIAL AR,387,70,317
55,MIDTOWN PHILLIPS,1988,796,1192
56,MINNEHAHA,607,206,401
57,MORRIS PARK,302,138,164
58,NEAR - NORTH,2664,1021,1643
59,NEAR NORTH,1,0,0
60,NICOLLET IS/EAST BANK,506,97,409
61,NORTHEAST PARK,848,75,773
62,NORTHLOOP,2066,434,1632
63,NORTHROP,846,329,517
64,PAGE,169,69,100
65,PHILLIPS WEST,1270,472,798
66,POWDERHORN PARK,2287,1046,1241
67,PROSPECT PK/E RIVER RD,1753,387,1366
68,REGINA,368,174,194
69,SEWARD,2189,659,1530
70,SHERIDAN,579,166,413
71,SHINGLE CREEK,504,215,289
72,ST ANTHONY EAST,344,149,195
73,ST ANTHONY WEST,372,82,290
74,STANDISH,1148,497,651
75,STEVENS SQ/LORING HGTS,1074,393,681
76,SUMNER-GLENWOOD,365,150,215
77,TANGLETOWN,647,211,436
78,UNIVERSITY,1,0,0
79,UNIVERSITY OF MINNESOTA,561,110,451
80,VENTURA VILLAGE,2100,852,1248
81,VICTORY,816,342,474
82,WAITE PARK,539,229,310
83,WEBBER-CAMDEN,1526,765,761
84,WENONAH,641,304,337
85,WEST CALHOUN,402,65,337
86,WHITTIER,4394,1319,3075
87,WILLARD-HAY,2139,1113,1026
88,WINDOM,859,247,612
89,WINDOM PARK,763,268,495
