community,Number of Homes,Avg Size (sqft),Avg Value,Avg Value per Sqft,Avg Year Built,LAT,LNG
CALHOUN-ISLE,6744,2415.0707295373663,525966.3701067616,217.78507920035796,1940.232502965599,44.959319,-93.306924
CAMDEN,9709,1931.8472551241116,173586.0129776496,89.85493677992547,1936.0819857863837,45.032955,-93.3003
CENTRAL,7731,1223.0950717889018,381523.5027810115,311.9328264670336,1975.807786832234,44.97651,-93.27046899999999
LONGFELLOW,8303,1949.8292183548115,291723.01577742986,149.61464985306466,1928.3554137058895,44.948282,-93.227425
NEAR NORTH,5987,2201.4476365458495,177547.45281443128,80.65031839367737,1937.533322198096,44.993190999999996,-93.293128
NOKOMIS,14291,2093.1123784199845,304767.8678888811,145.605114675658,1938.4094185151494,44.906686,-93.23768000000001
NORTHEAST,8876,2004.9852410995943,262494.19783686346,130.92076313384916,1936.1027489860298,45.015793,-93.249438
PHILLIPS,1635,1844.164525993884,184131.80428134557,99.84564917390469,1940.125993883792,44.956520000000005,-93.25705400000001
POWDERHORN,9804,1882.6056711546307,233263.9330885353,123.9048286439459,1927.9573643410852,44.938932,-93.25848
SOUTHWEST,16060,2457.2856787048568,468208.9165628892,190.53906536811974,1934.5506226650061,44.916219,-93.298635
UNIVERSITY,3935,1741.9095298602288,329684.75222363404,189.26628884686568,1952.7697585768742,44.976498,-93.230213
