community,Value per Sqft,School Ranking,Total Crime Rate,Violent Crime Rate,Non-Violent Crime Rate,LAT,LNG
CALHOUN-ISLE,217.7850792,2.5,58.34,13.64,44.7,44.959319,-93.306924
CAMDEN,89.85493678,1.333333333,51.76,25.93,25.83,45.032955,-93.3003
CENTRAL,311.9328265,2.5,115.04,25.9,89.14,44.97651,-93.270469
LONGFELLOW,149.6146499,3.5,60.46,16.36,44.09,44.948282,-93.227425
NEAR NORTH,80.65031839,1.625,49.63,24.08,25.54,44.993191,-93.293128
NOKOMIS,145.6051147,5.5,26.82,10.99,15.84,44.906686,-93.23768
NORTHEAST,130.9207631,2.714285714,34.68,11.08,23.6,45.015793,-93.249438
PHILLIPS,99.84564917,2,64.29,26.17,38.12,44.95652,-93.257054
POWDERHORN,123.9048286,1.888888889,47.26,18.44,28.82,44.938932,-93.25848
SOUTHWEST,190.5390654,5.6,22.58,7.4,15.18,44.916219,-93.298635
UNIVERSITY,189.2662888,2,39.93,10.58,29.35,44.976498,-93.230213
