Community,House Value per Sqft,LAT,LNG
Calhoun-Isle,217.7850792,44.959319,-93.306924
Camden,89.85493678,45.032955,-93.3003
Central,311.9328265,44.97651,-93.270469
Longfellow,149.6146499,44.948282,-93.227425
Near North,80.65031839,44.993191,-93.293128
Nokomis,145.6051147,44.906686,-93.23768
Northeast,130.9207631,45.015793,-93.249438
Phillips,99.84564917,44.95652,-93.257054
Powderhorn,123.9048286,44.938932,-93.25848
Southwest,190.5390654,44.916219,-93.298635
University,189.2662888,44.976498,-93.230213
