objectid,assessment_year,formatted_address,community,neighborhood,ward,zoning,landuse,parcel_area_sqft,property_type,totalvalue,multiple_uses,main_pt,buildinguse,yearbuilt,belowgroundarea,abovegroundarea,num_stories,garage_present,primaryheating,constructiontype,exteriortype,roof,total_units,fireplaces,bathrooms,bedrooms
1,2020,"4724 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6719,RESIDENTIAL,365000,NO,R,SINGLE FAM. DWLG.,1966.0,1218,1218,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,2
2,2020,"4718 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7280,RESIDENTIAL,378000,NO,R,SINGLE FAM. DWLG.,1960.0,1338,1338,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,2,3
3,2020,"4712 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7638,RESIDENTIAL,390000,NO,R,SPLIT ENTRY SGL. DWLG.,1965.0,1063,1063,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,3
4,2020,"4706 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7695,RESIDENTIAL,550500,NO,R,SINGLE FAM. DWLG.,1966.0,1056,2572,1.7,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,3,4
5,2020,"4700 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7467,RESIDENTIAL,390000,NO,R,SPLIT ENTRY SGL. DWLG.,1966.0,1134,1134,1,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,2,2,2
6,2020,"4618 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6308,RESIDENTIAL,488000,NO,R,SINGLE FAM. DWLG.,1964.0,985,1765,2,1,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,2,3,5
7,2020,"4612 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6496,RESIDENTIAL,432500,NO,R,SINGLE FAM. DWLG.,1967.0,1408,1408,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,4,2
10,2020,"4609 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,9111,RESIDENTIAL,609000,NO,R,SINGLE FAM. DWLG.,1961.0,1158,2383,2,2,HOT WATER,WOOD FRAME,STUCCO,GABLE,1,2,4,4
11,2020,"4615 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,9358,RESIDENTIAL,491500,NO,R,SINGLE FAM. DWLG.,1962.0,1098,1828,1.5,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,3
12,2020,"4621 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7592,RESIDENTIAL,477000,NO,R,SPLIT LEVEL SNG. DWLG.,1961.0,1451,1451,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,1,3,3
13,2020,"4701 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7980,RESIDENTIAL,392000,NO,R,SINGLE FAM. DWLG.,1960.0,1279,1279,1,1,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,2,2,3
14,2020,"4707 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7200,RESIDENTIAL,429500,NO,R,SINGLE FAM. DWLG.,1963.0,1296,1465,1,2,FORCED AIR,WOOD FRAME,METAL/VINYL,HIP,1,2,3,3
15,2020,"4711 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6360,RESIDENTIAL,455000,NO,R,SPLIT ENTRY SGL. DWLG.,1965.0,1232,1296,1,2,FORCED AIR,WOOD FRAME,OTHER,GABLE,1,2,3,5
16,2020,"4717 COFFEY LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,5897,RESIDENTIAL,359500,NO,R,SPLIT LEVEL SNG. DWLG.,1966.0,560,1184,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,3,3
17,2020,"4848 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,10330,RESIDENTIAL,594000,NO,R,SPLIT LEVEL SNG. DWLG.,1963.0,1842,1890,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,3,4,4
18,2020,"4842 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7668,RESIDENTIAL,627000,NO,R,CONTEMPORARY,1966.0,832,2410,2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,4
19,2020,"4836 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7365,RESIDENTIAL,664000,NO,R,SINGLE FAM. DWLG.,1961.0,1272,2644,2,2,FORCED AIR,WOOD FRAME,OTHER,GABLE,1,2,3,4
20,2020,"4830 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6847,RESIDENTIAL,435000,NO,R,SPLIT LEVEL SNG. DWLG.,1961.0,800,1500,1,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,2,3,3
21,2020,"4824 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6930,RESIDENTIAL,525000,NO,R,SINGLE FAM. DWLG.,1965.0,1120,2289,2,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,1,3,5
22,2020,"4818 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7139,RESIDENTIAL,362000,NO,R,SINGLE FAM. DWLG.,1963.0,0,1277,1,1,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,2,3
23,2020,"4812 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7122,RESIDENTIAL,417500,NO,R,SINGLE FAM. DWLG.,1960.0,1405,1661,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,2,2,3
