,School ID,School Name,Latitude Longitude,Student Population,Free Discount Lunch,Students Per Teacher,Rank Stars,Rank Level,Rank Statewide,Average Standard Score,Neighborhood
0,2.72124E+11,Andersen Community,"44.953311, -93.258819",890,93.48,11,0,Elementary,2.56,2.873,Midtown Phillips
1,2.72124E+11,Anishinabe Academy,"44.952574, -93.225694",255,91.76,13.4,0,Elementary,0.47,1.5418,Longfellow
2,2.72124E+11,Armatage Elementary,"44.900839, -93.311231",615,24.55,18.8,5,Elementary,97.09,90.13083,Southwest Minneapolis
3,2.72124E+11,Bancroft Elementary,"44.933831, -93.255809",505,77.43,11.9,1,Elementary,11.64,12.28741,Bancroft
4,2.72124E+11,Barton Open Elementary,"44.925493, -93.291563",699,43.63,16.9,2,Elementary,40.05,49.31851,Southwest Minneapolis
5,2.72124E+11,Bethune Elementary,"44.987605, -93.294774",310,94.52,10.8,0,Elementary,1.98,2.41523,Near North
6,2.72124E+11,Bryn Mawr Elementary,"44.974213, -93.316603",340,79.71,12.6,0,Elementary,0.7,1.69797,Calhoun Isles
7,2.72124E+11,Burroughs Elementary,"44.911753, -93.300333",740,12.3,19.6,5,Elementary,94.76,87.92929,Southwest Minneapolis
8,2.72124E+11,Cityview Community,"45.01616, -93.284206",327,91.44,11.8,0,Elementary,1.51,2.22555,Camden
9,2.72124E+11,Dowling Elementary,"44.932312, -93.203893",477,44.86,14.4,3,Elementary,52.15,59.61289,Howe
10,2.72124E+11,Early Childhood Assessment/Special,"45.004291, -93.29729",0,,,NA,NA,NA,NA,Jordan
11,2.72124E+11,Ecse,"44.942647, -93.261952",555,52.43,18.4,NA,NA,NA,NA,Powderhorn Park
12,2.72124E+11,Emerson Elementary,"44.968281, -93.2805",489,69.53,14.6,0,Elementary,9.31,9.32469,Central Minneapolis
13,2.72124E+11,Folwell Arts Magnet,"44.937162, -93.242932",814,85.63,13.3,0,Elementary,2.44,2.82346,Standish
14,2.72124E+11,Green Central Park Elementary,"44.940176, -93.271131",323,92.57,10.6,0,Elementary,6.17,5.36134,Central
15,2.72124E+11,Hale Elementary,"44.905719, -93.256832",645,12.09,20.1,5,Elementary,97.21,90.25968,Hale
16,2.72124E+11,Hall International,"44.996095, -93.289831",235,95.74,10.4,0,Elementary,2.1,2.43874,Near North
17,2.72124E+11,Hiawatha Elementary,"44.926461, -93.21212",248,28.23,15.4,NA,NA,NA,NA,Hiawatha
18,2.72124E+11,Hmong International Academy,"45.010567, -93.29847",525,88.76,12.3,0,Elementary,1.63,2.23857,Jordan
19,2.72124E+11,Howe Elementary,"44.934832, -93.211082",224,37.05,16.6,4,Elementary,79.28,76.3743,Howe
20,2.72124E+11,Jefferson Elementary,"44.955867, -93.295063",480,92.5,11.8,0,Elementary,3.73,3.81075,Lowry Hill East
21,2.72124E+11,Jenny Lind Elementary,"45.046782, -93.29241",389,92.29,10.4,0,Elementary,3.61,3.8089,Camden
22,2.72124E+11,Kenny Elementary,"44.899027, -93.295414",478,23.22,17.9,4,Elementary,78.58,75.29149,Southwest Minneapolis
23,2.72124E+11,Kenwood Elementary,"44.962212, -93.307806",401,20.2,19.6,3,Elementary,50.76,58.57924,Calhoun Isles
24,2.72124E+11,Lake Harriet Lower Elementary,"44.929206, -93.326148",503,5.17,19.4,NA,NA,NA,NA,Southwest Minneapolis
25,2.72124E+11,Lk Nokomis Community-Wenonah Campus,"44.900998, -93.238304",283,40.64,15.9,NA,NA,NA,NA,Wenonah
26,2.72124E+11,Loring Elementary,"45.036023, -93.313485",403,65.76,15.5,1,Elementary,15.6,19.20386,Camden
27,2.72124E+11,Lucy Laney @ Cleveland Park Elementary,"45.015884, -93.308954",456,83.99,11.7,0,Elementary,8.03,7.13943,Camden
28,2.72124E+11,Lyndale Elementary,"44.941837, -93.283708",495,54.95,14.4,1,Elementary,22.47,29.37834,Powderhorn
29,2.72124E+11,Marcy Open Elementary,"44.986608, -93.250008",739,51.29,16.3,1,Elementary,23.4,31.02546,Saint Anthony Main
30,2.72124E+11,Nellie Stone Johnson Elementary,"45.007165, -93.290025",427,96.02,9.9,0,Elementary,8.85,8.36864,Hawthorne
31,2.72124E+11,Northrop Elementary,"44.924584, -93.22653",493,21.3,17.5,4,Elementary,84.05,80.0257,Ericsson
32,2.72124E+11,Pillsbury Elementary,"45.010798, -93.233939",322,83.85,10.8,1,Elementary,16.07,19.72366,Windom Park
33,2.72124E+11,Pratt Elementary,"44.968977, -93.214074",274,57.66,15.6,1,Elementary,18.98,23.6827,Prospect Park
34,2.72124E+11,Prekindergarten North,"45.004291, -93.29729",6,,,NA,NA,NA,NA,Jordan
35,2.72124E+11,Prekindergarten South,"44.946436, -93.227762",0,,,NA,NA,NA,NA,Longfellow
36,2.72124E+11,Seward Elementary,"44.960225, -93.230785",846,54.49,17.8,1,Elementary,16.18,19.86322,Seward
