,Unnamed: 0,School ID,School Name,Latitude Longitude,Student Population,Free Discount Lunch,Students Per Teacher,Rank Stars,Rank Level,Rank Statewide,Average Standard Score,Neighborhood,Community
0,0,272124000000.0,Andersen Community,"44.953311, -93.258819",890,93.48,11.0,0.0,Elementary,2.56,2.873,Midtown Phillips,Phillips
1,1,272124000000.0,Anishinabe Academy,"44.952574, -93.225694",255,91.76,13.4,0.0,Elementary,0.47,1.5418,Longfellow,Longfellow
2,2,272124000000.0,Armatage Elementary,"44.900839, -93.311231",615,24.55,18.8,5.0,Elementary,97.09,90.13083,Southwest Minneapolis,Southwest
3,3,272124000000.0,Bancroft Elementary,"44.933831, -93.255809",505,77.43,11.9,1.0,Elementary,11.64,12.287410000000001,Bancroft,Powderhorn
4,4,272124000000.0,Barton Open Elementary,"44.925493, -93.291563",699,43.63,16.9,2.0,Elementary,40.05,49.318509999999996,Southwest Minneapolis,Southwest
5,5,272124000000.0,Bethune Elementary,"44.987605, -93.294774",310,94.52,10.8,0.0,Elementary,1.98,2.4152299999999998,Near North,Near North
6,6,272124000000.0,Bryn Mawr Elementary,"44.974213, -93.316603",340,79.71,12.6,0.0,Elementary,0.7,1.69797,Calhoun Isles,Calhoun-Isle
7,7,272124000000.0,Burroughs Elementary,"44.911753, -93.300333",740,12.3,19.6,5.0,Elementary,94.76,87.92929000000001,Southwest Minneapolis,Southwest
8,8,272124000000.0,Cityview Community,"45.01616, -93.284206",327,91.44,11.8,0.0,Elementary,1.51,2.22555,Camden,Camden
9,9,272124000000.0,Dowling Elementary,"44.932312, -93.203893",477,44.86,14.4,3.0,Elementary,52.15,59.61289,Howe,Longfellow
10,10,272124000000.0,Early Childhood Assessment/Special,"45.004291, -93.29729",0,,,,,,,Jordan,Near North
11,11,272124000000.0,Ecse,"44.942647, -93.261952",555,52.43,18.4,,,,,Powderhorn Park,Powderhorn
12,12,272124000000.0,Emerson Elementary,"44.968281, -93.2805",489,69.53,14.6,0.0,Elementary,9.31,9.324689999999999,Central Minneapolis,Central
13,13,272124000000.0,Folwell Arts Magnet,"44.937162, -93.242932",814,85.63,13.3,0.0,Elementary,2.44,2.82346,Standish,Powderhorn
14,14,272124000000.0,Green Central Park Elementary,"44.940176, -93.271131",323,92.57,10.6,0.0,Elementary,6.17,5.36134,Central,Powderhorn
15,15,272124000000.0,Hale Elementary,"44.905719, -93.256832",645,12.09,20.1,5.0,Elementary,97.21,90.25968,Hale,Nokomis
16,16,272124000000.0,Hall International,"44.996095, -93.289831",235,95.74,10.4,0.0,Elementary,2.1,2.43874,Near North,Near North
17,17,272124000000.0,Hiawatha Elementary,"44.926461, -93.21212",248,28.23,15.4,,,,,Hiawatha,Longfellow
18,18,272124000000.0,Hmong International Academy,"45.010567, -93.29847",525,88.76,12.3,0.0,Elementary,1.63,2.23857,Jordan,Near North
